sigma,method,nmi,simulation,signal_strength
5.179,rpca,0.4251733066988798,9,0.07456554107869717
5.179,outlier_pursuit,0.018639764244343528,9,0.07456554107869717
7.197,spectral_unnormalized,0.04233997721440788,0,0.038612417224389246
7.197,rpca,0.0607708675871891,0,0.038612417224389246
7.197,outlier_pursuit,0.018639764244343528,0,0.038612417224389246
7.197,spectral_unnormalized,0.0428259941262739,1,0.038612417224389246
7.197,rpca,0.029114383118891984,1,0.038612417224389246
7.197,outlier_pursuit,0.018639764244343528,1,0.038612417224389246
7.197,spectral_unnormalized,0.19090663343293804,2,0.038612417224389246
7.197,rpca,0.18084028367456673,2,0.038612417224389246
7.197,outlier_pursuit,0.018639764244343528,2,0.038612417224389246
7.197,spectral_unnormalized,0.2196116297949187,3,0.038612417224389246
7.197,rpca,0.09434576541925767,3,0.038612417224389246
7.197,outlier_pursuit,0.018639764244343528,3,0.038612417224389246
7.197,spectral_unnormalized,0.5407862117028416,4,0.038612417224389246
7.197,rpca,0.02351258938443967,4,0.038612417224389246
7.197,outlier_pursuit,0.018639764244343528,4,0.038612417224389246
7.197,spectral_unnormalized,0.28309353293551043,5,0.038612417224389246
7.197,rpca,0.0863399642869166,5,0.038612417224389246
7.197,outlier_pursuit,0.018639764244343528,5,0.038612417224389246
7.197,spectral_unnormalized,0.28135366840352244,6,0.038612417224389246
7.197,rpca,0.26787008970912907,6,0.038612417224389246
7.197,outlier_pursuit,0.018639764244343528,6,0.038612417224389246
7.197,spectral_unnormalized,0.07296518310307334,7,0.038612417224389246
7.197,rpca,0.058519792136740086,7,0.038612417224389246
7.197,outlier_pursuit,0.018639764244343528,7,0.038612417224389246
7.197,spectral_unnormalized,0.2788842425598499,8,0.038612417224389246
7.197,rpca,0.3425675669167147,8,0.038612417224389246
7.197,outlier_pursuit,0.018639764244343528,8,0.038612417224389246
7.197,spectral_unnormalized,0.10345369088652681,9,0.038612417224389246
7.197,rpca,0.08274937650412371,9,0.038612417224389246
7.197,outlier_pursuit,0.018639764244343528,9,0.038612417224389246
10.0,spectral_unnormalized,0.02351258938443967,0,0.02
10.0,rpca,0.014842747072989914,0,0.02
10.0,outlier_pursuit,0.018639764244343528,0,0.02
10.0,spectral_unnormalized,0.007261306984853738,1,0.02
10.0,rpca,0.0003173131428202994,1,0.02
10.0,outlier_pursuit,0.018639764244343528,1,0.02
10.0,spectral_unnormalized,0.08930266695479416,2,0.02
10.0,rpca,0.036191778422235275,2,0.02
10.0,outlier_pursuit,0.018639764244343528,2,0.02
10.0,spectral_unnormalized,0.030754921675841436,3,0.02
10.0,rpca,0.04187773532282634,3,0.02
10.0,outlier_pursuit,0.018639764244343528,3,0.02
10.0,spectral_unnormalized,0.3239237983436304,4,0.02
10.0,rpca,0.007229504798286565,4,0.02
10.0,outlier_pursuit,0.018639764244343528,4,0.02
10.0,spectral_unnormalized,0.04233997721440788,5,0.02
10.0,rpca,0.0012203612085225554,5,0.02
10.0,outlier_pursuit,0.018639764244343528,5,0.02
10.0,spectral_unnormalized,0.011011968121955752,6,0.02
10.0,rpca,0.04233997721440788,6,0.02
10.0,outlier_pursuit,0.018639764244343528,6,0.02
10.0,spectral_unnormalized,0.015186892977535385,7,0.02
10.0,rpca,0.029114383118891984,7,0.02
10.0,outlier_pursuit,0.018639764244343528,7,0.02
10.0,spectral_unnormalized,0.12135760363826194,8,0.02
10.0,rpca,0.11226045407338711,8,0.02
10.0,outlier_pursuit,0.018639764244343528,8,0.02
10.0,spectral_unnormalized,0.07461767443636569,9,0.02
10.0,rpca,0.018587207287721865,9,0.02
10.0,outlier_pursuit,0.018639764244343528,9,0.02
